image_path,image_hash,hash_verified,total_latency_ms,server_inference_ms,network_latency_ms,server_cpu_percent,server_memory_mb,server_memory_percent,request_size_bytes,response_size_bytes,total_data_bytes,top_class,top_confidence
dataset/n03903868_pedestal.JPEG,ec0bcddb51b48b8a094da9bffbc60fb5,True,507.14,106.99,400.15,0.00,0.00,21.30,132799,513,133312,pedestal,0.9259
dataset/n02100877_Irish_setter.JPEG,df5f47dd4c97351f2733d8d33f831af7,True,441.34,104.50,336.84,0.00,0.00,21.30,41726,532,42258,Irish_setter,0.7983
dataset/n04428191_thresher.JPEG,fd947c53464a935b8fce0d963846e0db,True,495.17,105.12,390.05,0.00,0.00,21.30,184562,512,185074,thresher,0.9447
dataset/n03445924_golfcart.JPEG,c007d4c89f3394b94185f87d3e2ab522,True,495.69,102.49,393.20,0.00,0.00,21.30,183367,517,183884,golfcart,0.8951
dataset/n03724870_mask.JPEG,4d444cb4c6d9981bf3a0fc0af2ffd40a,True,598.71,106.34,492.37,0.00,0.00,21.30,172625,504,173129,mask,0.5770
dataset/n03710193_mailbox.JPEG,d0871dff25f7933c93f6bc03d2598e7a,True,504.96,117.83,387.13,0.00,0.00,21.30,163175,511,163686,mailbox,0.9634
dataset/n03874293_paddlewheel.JPEG,986069a965e7110421923c251b0480ef,True,506.18,103.67,402.51,0.00,0.00,21.30,150478,517,150995,paddlewheel,0.9338
dataset/n06794110_street_sign.JPEG,ee759dc2991da5e40161896b37c65f6e,True,610.10,100.19,509.91,0.00,0.00,21.30,213534,515,214049,street_sign,0.9734
dataset/n01631663_eft.JPEG,35a775ad150b022d994612cf73e13fb8,True,508.54,104.41,404.13,0.00,0.00,21.30,143197,518,143715,eft,0.7551
dataset/n07590611_hot_pot.JPEG,9a8458c2392d540a4e5d5505bc4084e3,True,387.37,98.52,288.85,0.00,0.00,21.30,29676,507,30183,hot_pot,0.9068
dataset/n04243546_slot.JPEG,c984c7e606ac3ab4d269fae685a36579,True,525.31,105.98,419.33,0.00,0.00,21.30,172219,517,172736,slot,0.8889
dataset/n03709823_mailbag.JPEG,7fd580ef16c763f60fd14bb57c503f14,True,505.72,106.24,399.48,0.00,3.61,21.40,145530,513,146043,strainer,0.7573
dataset/n04317175_stethoscope.JPEG,6a6d2615462b1e01db79eb78ba417878,True,509.38,102.18,407.20,0.00,0.00,21.40,73237,512,73749,stethoscope,0.8964
dataset/n01877812_wallaby.JPEG,568a01594e4af7240836026fb7b45f2a,True,469.93,101.96,367.97,0.00,0.08,21.40,139232,507,139739,kit_fox,0.4082
dataset/n02966687_carpenter's_kit.JPEG,54cc0d31f7c709e50625448428e906bf,True,519.58,101.24,418.34,0.00,0.00,21.40,181240,520,181760,power_drill,0.4241
dataset/n01694178_African_chameleon.JPEG,749bebf9bba6cf22a8aa733d404e3d5e,True,389.49,102.03,287.46,0.00,0.00,21.40,35630,526,36156,African_chameleon,0.9823
dataset/n03065424_coil.JPEG,e5383bb4b48db243e44e124d650d2625,True,447.48,99.80,347.68,0.00,0.00,21.40,35111,506,35617,coil,0.7441
dataset/n02093754_Border_terrier.JPEG,ae9120d4551b839419e9eb5fd18ca06e,True,540.83,117.46,423.37,0.00,0.00,21.40,182632,522,183154,Border_terrier,0.8874
dataset/n02443484_black-footed_ferret.JPEG,ecf3c05903991a759b39cda1f006efac,True,433.70,99.68,334.02,4.80,0.00,21.40,86412,514,86926,black-footed_ferret,0.6736
dataset/n02112137_chow.JPEG,0264f03a707d2adf3e99f546588ad726,True,388.33,99.64,288.69,0.00,0.25,21.40,38544,517,39061,chow,0.6267
dataset/n03775071_mitten.JPEG,0e24b64352532f0115671c2391ab7b3e,True,563.75,104.13,459.62,0.00,0.00,21.40,118510,508,119018,mitten,0.9511
dataset/n02087394_Rhodesian_ridgeback.JPEG,0e97f8ab4e649250fcb2dc6db9b692cf,True,428.02,116.82,311.20,4.80,0.00,21.40,48335,514,48849,Rhodesian_ridgeback,0.1296
dataset/n03534580_hoopskirt.JPEG,a814e6135a9ba597643f0f22c4a8bb54,True,452.17,110.97,341.20,0.00,0.00,21.40,107314,510,107824,hoopskirt,0.9886
dataset/n02666196_abacus.JPEG,a94e13bc83c87e34b943656d7df61211,True,438.75,102.76,335.99,0.00,0.00,21.40,7840,510,8350,abacus,0.8076
dataset/n01784675_centipede.JPEG,7a10dc54f8749ef04f8d4cbb86b325e0,True,442.65,105.34,337.31,0.00,0.00,21.40,89579,539,90118,centipede,0.9462
dataset/n04525305_vending_machine.JPEG,2bad81a0c0feb31689c1b8db7dcbfb2e,True,571.29,101.70,469.59,0.00,0.00,21.40,158343,518,158861,vending_machine,0.9920
dataset/n04285008_sports_car.JPEG,bc5febfb9acfa4b15f4beb7e595fe637,True,507.25,107.99,399.26,0.00,0.00,21.40,24243,510,24753,sports_car,0.7629
dataset/n07745940_strawberry.JPEG,e5f80e4427136020965f4016c947e93a,True,506.79,103.74,403.05,0.00,0.00,21.40,131240,518,131758,strawberry,0.9396
dataset/n02104029_kuvasz.JPEG,fb5b5d49dec854d6742c4a6b4220e890,True,689.26,119.35,569.91,0.00,0.00,21.40,373682,516,374198,kuvasz,0.9922
dataset/n02167151_ground_beetle.JPEG,093b1c9d429d2ccde1658a66c3ef6d54,True,383.85,102.15,281.70,0.00,0.00,21.40,15793,522,16315,ground_beetle,0.9550
dataset/n07684084_French_loaf.JPEG,d5f2a7687689db365685db9472fbb6c5,True,554.41,109.13,445.28,0.00,-7.81,21.20,97269,513,97782,French_loaf,0.9840
dataset/n01829413_hornbill.JPEG,505e61859fd643cefcb0fab8476b0928,True,445.34,103.10,342.24,0.00,-0.06,21.20,85322,508,85830,hornbill,0.9527
dataset/n04254120_soap_dispenser.JPEG,367e25e23e124e35ac180c6d2f58ab8b,True,360.14,99.09,261.05,0.00,0.00,21.20,2736,519,3255,soap_dispenser,0.9192
dataset/n03134739_croquet_ball.JPEG,a520972ce9fe88c8ae59baddc1ae344c,True,539.69,119.79,419.90,0.00,0.00,21.20,203249,519,203768,croquet_ball,0.9937
dataset/n02105162_malinois.JPEG,290d99fe1a9e0a6c5d0493ef929848f0,True,423.46,107.97,315.49,0.00,1.97,21.30,46827,529,47356,malinois,0.9061
dataset/n04235860_sleeping_bag.JPEG,f266e0f23cab86f728b2bf226d6b38de,True,554.63,110.29,444.34,0.00,0.00,21.30,136117,517,136634,sleeping_bag,0.9219
dataset/n03888257_parachute.JPEG,8cfe860f54a7c61070a1bcb67899ec1d,True,607.63,113.65,493.98,0.00,3.91,21.40,404411,509,404920,parachute,0.6177
dataset/n03602883_joystick.JPEG,9caa72b00ef0d7a3c3c528c73073cbbd,True,508.34,101.94,406.40,0.00,0.00,21.40,87351,509,87860,holster,0.3311
dataset/n02607072_anemone_fish.JPEG,28fd39a3bf672274a9f21446e4db6b27,True,505.69,102.83,402.86,0.00,0.00,21.40,207022,519,207541,anemone_fish,0.5518
dataset/n02113624_toy_poodle.JPEG,78e9ad750277d4720d3d2729d94bd177,True,462.75,101.99,360.76,4.80,0.00,21.40,141839,526,142365,miniature_poodle,0.5686
dataset/n02259212_leafhopper.JPEG,393da882d91244b517b68d6eb43dce5a,True,551.38,106.06,445.32,0.00,7.62,21.60,117377,514,117891,leafhopper,0.8486
dataset/n02115913_dhole.JPEG,23c0be903c80e8ad5f72b5799407ec3c,True,403.61,100.43,303.18,0.00,0.00,21.60,30809,503,31312,dhole,0.9489
dataset/n01917289_brain_coral.JPEG,db96f87744c1d734b0dbc4e0d28c9e9b,True,613.32,108.90,504.42,0.00,0.20,21.60,206573,511,207084,brain_coral,0.9833
dataset/n02268443_dragonfly.JPEG,ff201c030ea1c218307df03386c75fd7,True,405.66,108.38,297.28,0.00,0.00,21.60,21502,510,22012,dragonfly,0.2305
dataset/n09399592_promontory.JPEG,0d534869e62e8327ce8ebf92080ada18,True,421.47,106.75,314.72,0.00,0.00,21.60,68540,510,69050,promontory,0.3716
dataset/n04251144_snorkel.JPEG,34feb28ef2a4a7ea94f4acea0158f8a6,True,491.52,105.24,386.28,0.00,0.00,21.60,138305,507,138812,snorkel,0.9320
dataset/n04404412_television.JPEG,997b866bd907328ccf1287719597ff47,True,404.25,106.86,297.39,0.00,0.00,21.60,31160,517,31677,home_theater,0.3642
dataset/n01514668_cock.JPEG,742ee0e6bebb0f60cf8a54c0cde235d1,True,465.01,104.43,360.58,0.00,0.00,21.60,122371,504,122875,cock,0.2736
dataset/n02011460_bittern.JPEG,5fd89c77b0a5e53cdc248c1edbfee408,True,547.92,105.15,442.77,0.00,0.00,21.60,142129,509,142638,bittern,0.8963
dataset/n04065272_recreational_vehicle.JPEG,da51a29cffed645efafe45072ba7ee80,True,488.77,100.86,387.91,0.00,0.00,21.60,146446,529,146975,recreational_vehicle,0.8557
dataset/n04479046_trench_coat.JPEG,0d2423371927189fae8d05b7153c6039,True,422.74,105.72,317.02,0.00,0.00,21.60,82530,514,83044,trench_coat,0.6278
dataset/n03776460_mobile_home.JPEG,671becf9d1e5c48fd6b9a8112db29360,True,409.44,98.87,310.57,0.00,0.00,21.60,15498,509,16007,dome,0.1010
dataset/n04296562_stage.JPEG,8f00d9871f985b656aad3eaf7800e82f,True,506.58,104.90,401.68,0.00,0.00,21.60,136586,502,137088,stage,0.5651
dataset/n02492660_howler_monkey.JPEG,8fd2721f961248016381aee0cb203c67,True,451.94,105.39,346.55,0.00,0.00,21.60,165421,526,165947,howler_monkey,0.6801
dataset/n07875152_potpie.JPEG,1e4439eb5efdb1004f81b5bd76660e75,True,471.14,103.15,367.99,0.00,0.00,21.60,129368,510,129878,potpie,0.9855
dataset/n02128757_snow_leopard.JPEG,246aba8d13ef17bae546f67d8a345297,True,494.41,103.02,391.39,0.00,0.00,21.60,143654,512,144166,snow_leopard,0.6009
dataset/n04589890_window_screen.JPEG,83b42f1b96bbd41b0cac0f5d78666942,True,454.52,116.54,337.98,0.00,0.00,21.60,80439,517,80956,swing,0.2425
dataset/n03976657_pole.JPEG,2b509ff292b7ab1e62ef945d34b3e62f,True,458.73,99.63,359.10,4.80,0.00,21.60,111042,502,111544,pole,0.6644
dataset/n02396427_wild_boar.JPEG,88fa21c58ada6023a2b514a19f42b27a,True,412.28,102.57,309.71,0.00,0.22,21.60,61785,500,62285,bison,0.5243
dataset/n04485082_tripod.JPEG,f5de8e390ba1e996041e4a2acd327927,True,432.54,101.88,330.66,0.00,0.00,21.60,140062,506,140568,tripod,0.9752
dataset/n03733131_maypole.JPEG,8814d2be7ef62086c296482ac9eb9b15,True,469.93,101.93,368.00,0.00,0.00,21.60,225621,505,226126,maypole,0.9629
dataset/n04310018_steam_locomotive.JPEG,d8ec34ec654c27598bd4fa262d3717f3,True,471.08,109.92,361.16,0.00,0.00,21.60,123665,534,124199,steam_locomotive,0.5966
dataset/n04111531_rotisserie.JPEG,ce84ddc28c43e09aa0de8cc4d182d113,True,413.07,101.84,311.23,0.00,0.00,21.60,64814,516,65330,rotisserie,0.5069
dataset/n01984695_spiny_lobster.JPEG,ba4a022f262f19a952fce363f9dd2240,True,546.40,106.75,439.65,0.00,-7.33,21.40,189619,519,190138,spiny_lobster,0.9211
dataset/n04229816_ski_mask.JPEG,ac0fdba72d77534b0261f63eda7719ae,True,465.21,103.91,361.30,0.00,-6.36,21.20,126955,510,127465,ski_mask,0.7487
dataset/n07714990_broccoli.JPEG,f12708fc3fa6a9131e9fc9b125aaad2a,True,445.88,106.84,339.04,0.00,0.00,21.20,69304,507,69811,broccoli,0.8734
dataset/n02319095_sea_urchin.JPEG,fcd1cddc5c8e6f2661751ceab6b5736f,True,508.43,102.22,406.21,0.00,0.00,21.20,97083,510,97593,sea_urchin,0.4175
dataset/n02104365_schipperke.JPEG,6ba3076fb4d78ae13597e11760e223ed,True,505.83,103.45,402.38,0.00,-6.21,21.10,115737,519,116256,schipperke,0.9893
dataset/n02174001_rhinoceros_beetle.JPEG,58c5098a7cbb59dccc02df77fba10a35,True,443.25,102.12,341.13,0.00,0.00,21.10,111376,527,111903,rhinoceros_beetle,0.7071
dataset/n02086910_papillon.JPEG,6bcae05d5f6df271e72e8260a7c3883b,True,505.32,118.01,387.31,0.00,0.00,21.10,141598,525,142123,papillon,0.9071
dataset/n02883205_bow_tie.JPEG,c0c51a72c227c79cb4a2f8a073228f1b,True,461.61,107.51,354.10,0.00,7.63,21.30,121848,505,122353,suit,0.1690
dataset/n03452741_grand_piano.JPEG,3d34108efa30d5ef67df0be86825a946,True,619.52,108.73,510.79,0.00,-6.15,21.10,198554,518,199072,grand_piano,0.8914
dataset/n02894605_breakwater.JPEG,7dbf909403c00df47abaddc360d15424,True,610.81,104.42,506.39,0.00,0.00,21.10,147106,513,147619,breakwater,0.7346
dataset/n02981792_catamaran.JPEG,ad9fe5d4a35b054fe2c7e64e4fa1c52e,True,508.09,108.44,399.65,4.80,7.62,21.30,125711,508,126219,catamaran,0.7038
dataset/n02500267_indri.JPEG,5482a1c51feb30bc850c48ab29cc7c27,True,446.52,108.90,337.62,0.00,0.00,21.30,114350,506,114856,indri,0.2830
dataset/n01728572_thunder_snake.JPEG,239dff816b5cea62ab9e6a0ab294c101,True,451.09,103.28,347.81,0.00,0.00,21.30,79453,523,79976,thunder_snake,0.6562
dataset/n12057211_yellow_lady's_slipper.JPEG,fecf5285de91554a9e114fc975a10042,True,517.09,104.86,412.23,0.00,0.00,21.30,197140,518,197658,yellow_lady's_slipper,0.9764
dataset/n02487347_macaque.JPEG,76f46388819780987a26356b6c05561e,True,388.19,100.47,287.72,0.00,0.00,21.30,34248,503,34751,macaque,0.7677
dataset/n04487394_trombone.JPEG,5aac2a71434564491cf71c6a563015d2,True,414.86,103.60,311.26,0.00,0.00,21.30,62417,508,62925,trombone,0.9792
dataset/n02111889_Samoyed.JPEG,d78d4a95d9e2f1a6bdaf1bea13d4b5ec,True,503.56,116.50,387.06,0.00,0.00,21.30,157445,530,157975,Samoyed,0.5036
dataset/n02124075_Egyptian_cat.JPEG,56ed314c05f2a41de752c6e2769c4e50,True,507.29,102.15,405.14,0.00,0.00,21.30,58654,509,59163,tabby,0.5561
dataset/n01632777_axolotl.JPEG,291bd511fd1f2fe2983eaa640496c52a,True,405.31,102.69,302.62,0.00,5.37,21.50,31125,522,31647,common_newt,0.8388
dataset/n03028079_church.JPEG,ee009449ff30accef1228d80066ca7a3,True,505.86,106.87,398.99,0.00,3.71,21.60,130523,504,131027,church,0.6810
dataset/n04311004_steel_arch_bridge.JPEG,9eab1e4626a390d35b0cf4523cc0305e,True,508.59,101.97,406.62,0.00,0.02,21.60,115419,517,115936,steel_arch_bridge,0.9619
dataset/n01530575_brambling.JPEG,73362077ea15dcaf11ac07c51b7eb738,True,609.04,117.30,491.74,0.00,0.00,21.60,147711,513,148224,brambling,0.8887
dataset/n02025239_ruddy_turnstone.JPEG,5154cbe1d9c60e3a91ecf7ef80d6ba6e,True,492.30,100.33,391.97,0.00,0.00,21.60,101855,521,102376,ruddy_turnstone,0.9347
dataset/n07860988_dough.JPEG,96cc189d4488e219b2dfb1c26cf3b926,True,524.63,109.52,415.11,4.80,0.00,21.60,155676,508,156184,guacamole,0.2907
dataset/n07717556_butternut_squash.JPEG,5dd4bc816a0dc9e090cb95ae8e0fd622,True,508.44,103.45,404.99,0.00,-0.01,21.60,72527,532,73059,butternut_squash,0.9793
dataset/n02965783_car_mirror.JPEG,b2a1fa8cacc08dfb09e0bf59144a4baa,True,405.67,102.79,302.88,0.00,0.00,21.60,23245,512,23757,car_mirror,0.9808
dataset/n04023962_punching_bag.JPEG,1a09ea27f5570c2a986ecc31f74f5583,True,405.06,114.62,290.44,0.00,0.00,21.60,4031,518,4549,punching_bag,0.9929
